Title,Product URL,Price,Solder,Review,Review Number,Image URL,Crawl Time
The Lies You Told,https://www.amazon.com/Lies-You-Told-Harriet-Tyce-ebook/dp/B081YYH768/ref=sr_1_306?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-306,$2.99,Harriet Tyce,4.0 out of 5 stars,"6,178",https://m.media-amazon.com/images/I/91Utw5EiMmL._AC_UY218_.jpg,2024-01-28 22:41:50
Backstory,https://www.amazon.com/Backstory-Jr-William-L-Myers-ebook/dp/B09F1TL255/ref=sr_1_307?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-307,$1.99,Amazon.com Services LLC,3.8 out of 5 stars,161,https://m.media-amazon.com/images/I/81mTFy9jEhL._AC_UY218_.jpg,2024-01-28 22:41:50
"If You Can Doodle, You Can Paint: Transforming Simple Drawings into Works of Art",https://www.amazon.com/If-You-Can-Doodle-Paint-ebook/dp/B06ZZNQWQD/ref=sr_1_308?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-308,$4.99,Diane Culhane,4.4 out of 5 stars,228,https://m.media-amazon.com/images/I/A1axOqkhWCL._AC_UY218_.jpg,2024-01-28 22:41:50
Head Like a Hole: A Novel of Horror,https://www.amazon.com/Head-Like-Hole-Novel-Horror-ebook/dp/B0B4GHMYNP/ref=sr_1_309?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-309,$0.00,Andrew Van Wey,4.1 out of 5 stars,"1,384",https://m.media-amazon.com/images/I/81XW7BIJ75L._AC_UY218_.jpg,2024-01-28 22:41:50
To Find a Killer: The Homophobic Murders of Norma and Maria Hurtado and the LGBT Rights Movement,https://www.amazon.com/Find-Killer-Homophobic-Murders-Movement-ebook/dp/B0BNW9K64Y/ref=sr_1_310?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-310,$1.99,Doug Greco,5.0 out of 5 stars,12,https://m.media-amazon.com/images/I/91Ap+v7vSsL._AC_UY218_.jpg,2024-01-28 22:41:50
The Fury of Rachel Monette,https://www.amazon.com/Fury-Rachel-Monette-Peter-Abrahams-ebook/dp/B00Z8PORIS/ref=sr_1_311?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-311,$1.99,Peter Abrahams,4.2 out of 5 stars,21,https://m.media-amazon.com/images/I/71FBhoQ4VsL._AC_UY218_.jpg,2024-01-28 22:41:50
Southern Comfort,https://www.amazon.com/Southern-Comfort-Fern-Michaels-ebook/dp/B007X5IOXA/ref=sr_1_312?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-312,$0.00,Fern Michaels,4.4 out of 5 stars,"3,900",https://m.media-amazon.com/images/I/8195knEYLqL._AC_UY218_.jpg,2024-01-28 22:41:50
The F Words,https://www.amazon.com/F-Words-Barbara-Gregorich-ebook/dp/B099KJMBGN/ref=sr_1_313?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-313,$1.99,Barbara Gregorich,4.8 out of 5 stars,11,https://m.media-amazon.com/images/I/81g+6qsBN8L._AC_UY218_.jpg,2024-01-28 22:41:50
Goliath: A Thriller,https://www.amazon.com/Goliath-Shawn-Corridan-ebook/dp/B01CPZ83WO/ref=sr_1_314?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-314,$1.99,Shawn Corridan,4.4 out of 5 stars,425,https://m.media-amazon.com/images/I/81Q1PKvR1ML._AC_UY218_.jpg,2024-01-28 22:41:50
Tangled Hearts,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTgzMTk5MzU4OTMwMDI4OjE3MDY0OTk3MDY6c3BfbXRmOjIwMDE2NjcxMzcyNjA5ODo6MDo6&url=%2FTangled-Hearts-M-S-Parker-ebook%2Fdp%2FB0C51MHSKQ%2Fref%3Dsr_1_315_sspa%3Fkeywords%3DKindle%2BStore%26qid%3D1706499706%26refinements%3Dp_n_deal_type%253A23566064011%26rnid%3D1248985011%26s%3Ddigital-text%26sr%3D1-315-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$0.00,M. S. Parker,4.4 out of 5 stars,798,https://m.media-amazon.com/images/I/81AzUo1z42L._AC_UY218_.jpg,2024-01-28 22:41:50
Cowboy Seeking Nanny (Cowboys of Moss Creek Book 1),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTgzMTk5MzU4OTMwMDI4OjE3MDY0OTk3MDY6c3BfbXRmOjIwMDA1NDM5NTc4NDQyMTo6MDo6&url=%2FCowboy-Seeking-Nanny-Classifieds-Book-ebook%2Fdp%2FB08DM2SLCT%2Fref%3Dsr_1_316_sspa%3Fkeywords%3DKindle%2BStore%26qid%3D1706499706%26refinements%3Dp_n_deal_type%253A23566064011%26rnid%3D1248985011%26s%3Ddigital-text%26sr%3D1-316-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$0.00,Janice Whiteaker,4.5 out of 5 stars,"6,169",https://m.media-amazon.com/images/I/71UPQuR1BgL._AC_UY218_.jpg,2024-01-28 22:41:50
Firebird,https://www.amazon.com/Firebird-Helaine-Mario-ebook/dp/B013LJQZI2/ref=sr_1_317?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-317,$1.99,Helaine Mario,4.4 out of 5 stars,110,https://m.media-amazon.com/images/I/71Y2R9bLrgL._AC_UY218_.jpg,2024-01-28 22:41:50
The Secret River,https://www.amazon.com/Secret-River-Kate-Grenville-ebook/dp/B003F8S740/ref=sr_1_318?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-318,$3.99,Kate Grenville,4.1 out of 5 stars,"5,072",https://m.media-amazon.com/images/I/81KKYprhNnL._AC_UY218_.jpg,2024-01-28 22:41:50
Nightcrawling: A Novel (Oprah's Book Club),https://www.amazon.com/Nightcrawling-novel-Leila-Mottley-ebook/dp/B09DK8M4VL/ref=sr_1_319?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-319,$1.99,Leila Mottley,4.4 out of 5 stars,"5,172",https://m.media-amazon.com/images/I/817F+T338-L._AC_UY218_.jpg,2024-01-28 22:41:50
Come Home,https://www.amazon.com/Come-Home-Patricia-Gussin-ebook/dp/B075HLLCGH/ref=sr_1_320?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-320,$1.99,Patricia Gussin,4.0 out of 5 stars,203,https://m.media-amazon.com/images/I/91fj4Q8V-yL._AC_UY218_.jpg,2024-01-28 22:41:50
The Comfort of Black: A Novel,https://www.amazon.com/Comfort-Black-Carter-Wilson-ebook/dp/B00ZB90R4E/ref=sr_1_321?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-321,$1.99,Carter Wilson,4.1 out of 5 stars,894,https://m.media-amazon.com/images/I/71WDTgyrCfL._AC_UY218_.jpg,2024-01-28 22:41:50
The First World War,https://www.amazon.com/First-World-War-John-Keegan-ebook/dp/B009Y4I744/ref=sr_1_322?keywords=Kindle+Store&qid=1706499706&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-322,$1.99,John Keegan,4.5 out of 5 stars,"1,559",https://m.media-amazon.com/images/I/71lSOByvp8L._AC_UY218_.jpg,2024-01-28 22:41:50
Fearless: The Undaunted Courage and Ultimate Sacrifice of Navy SEAL Team SIX Operator Adam Brown,https://www.amazon.com/Fearless-Undaunted-Ultimate-Sacrifice-Operator-ebook/dp/B006ZAZ31U/ref=sr_1_321?keywords=Kindle+Store&qid=1706499715&refinements=p_n_deal_type%3A23566064011&rnid=1248985011&s=digital-text&sr=1-321,$1.99,Eric Blehm,4.8 out of 5 stars,"9,676",https://m.media-amazon.com/images/I/81U+6VDSepL._AC_UY218_.jpg,2024-01-28 22:42:00
